drug	disease	label
CHEMBL:CHEMBL4297809	UMLS:C0454644	0
pubchem.compound:4768	UMLS:C0454644	0
pubchem.compound:5819	UMLS:C5231402	0
pubchem.compound:72078	UMLS:C2751088	0
pubchem.compound:451668	UMLS:C4721436	0
pubchem.compound:5039	UMLS:C0028840	0
pubchem.compound:9838022	UMLS:C0013415	0
pubchem.compound:3902	UMLS:C3806153	0
pubchem.compound:4411	UMLS:C5567789	0
pubchem.compound:169870	UMLS:C4016256	0
pubchem.compound:657309	UMLS:C1704417	0
CHEMBL:CHEMBL1201509	UMLS:C0086543	0
pubchem.compound:175804	UMLS:C3714618	0
pubchem.compound:5253	UMLS:C0236964	0
CHEMBL:CHEMBL2108570	UMLS:C0346153	0
pubchem.compound:24987688	UMLS:C5779546	0
CHEMBL:CHEMBL191	UMLS:C0028326	0
pubchem.compound:4192	UMLS:C4693899	0
pubchem.compound:86764535	UMLS:C3714756	0
CHEMBL:CHEMBL1201476	UMLS:C5561926	0
pubchem.compound:2726	UMLS:C0007398	0
CHEMBL:CHEMBL1237022	UMLS:C0013261	0
pubchem.compound:62857	UMLS:C1848702	0
pubchem.compound:439693	UMLS:C0339526	0
pubchem.compound:135565884	UMLS:C0472813	0
pubchem.compound:896	UMLS:C0151786	0
pubchem.compound:2216	UMLS:C2751898	0
pubchem.compound:5361	UMLS:C4310715	0
pubchem.compound:656630	UMLS:C0266463	0
pubchem.compound:2724385	UMLS:C0349217	0
pubchem.compound:71464713	UMLS:C0020479	0
pubchem.compound:5365247	UMLS:C0752105	0
CHEMBL:CHEMBL3707277	UMLS:C0020479	0
pubchem.compound:5284373	UMLS:C3280783	0
pubchem.compound:11980076	UMLS:C2750078	0
CHEMBL:CHEMBL2108350	UMLS:C0220993	0
pubchem.compound:3763	UMLS:C0023892	0
pubchem.compound:6450830	UMLS:C0268138	0
pubchem.compound:9854012	UMLS:C5681639	0
pubchem.compound:71621331	UMLS:C2931132	0
pubchem.compound:5359	UMLS:C0221355	0
pubchem.compound:91618104	UMLS:C0035320	0
pubchem.compound:24776445	UMLS:C1859372	0
pubchem.compound:10161381	UMLS:C0751038	0
pubchem.compound:3261	UMLS:C2751826	0
pubchem.compound:5311221	UMLS:C1848599	0
pubchem.compound:3869	UMLS:C0239998	0
pubchem.compound:62920	UMLS:C0038356	0
pubchem.compound:5310966	UMLS:C0001956	0
pubchem.compound:71577426	UMLS:C0431363	0
pubchem.compound:42890	UMLS:C5686324	0
pubchem.compound:5284569	UMLS:C2673913	0
pubchem.compound:49841217	UMLS:C5568766	0
pubchem.compound:72078	UMLS:C4551714	0
pubchem.compound:9280	UMLS:C0023890	0
CHEMBL:CHEMBL4297723	UMLS:C3553794	0
pubchem.compound:4449	UMLS:C4225359	0
CHEMBL:CHEMBL1201570	UMLS:C1959582	0
pubchem.compound:3488	UMLS:C5681246	0
CHEMBL:CHEMBL1743043	UMLS:C5680153	0
CHEMBL:CHEMBL4297955	UMLS:C0035300	0
pubchem.compound:14720269	UMLS:C1175175	0
pubchem.compound:66653479	UMLS:C0162820	0
pubchem.compound:46216795	UMLS:C0751495	0
pubchem.compound:2720	UMLS:C0007766	0
pubchem.compound:1254	UMLS:C4693941	0
pubchem.compound:24776445	UMLS:C4275067	0
pubchem.compound:23725423	UMLS:C1864900	0
pubchem.compound:121490161	UMLS:C3280215	0
pubchem.compound:4201	UMLS:C1842587	0
pubchem.compound:5816	UMLS:C0018816	0
pubchem.compound:16722836	UMLS:C3553661	0
pubchem.compound:43032	UMLS:C0041295	0
pubchem.compound:123631	UMLS:C1853833	0
pubchem.compound:16760425	UMLS:C0152427	0
pubchem.compound:11597698	UMLS:C1859372	0
CHEMBL:CHEMBL1201421	UMLS:C0878676	0
pubchem.compound:23480	UMLS:C0342384	0
CHEMBL:CHEMBL4297852	UMLS:C1337013	0
pubchem.compound:9913767	UMLS:C0037274	0
pubchem.compound:3078519	UMLS:C0751036	0
pubchem.compound:155434	UMLS:C0029771	0
pubchem.compound:135410875	UMLS:C0009080	0
pubchem.compound:121587	UMLS:C1837260	0
CHEMBL:CHEMBL4297949	UMLS:C0574080	0
pubchem.compound:49831411	UMLS:C0399352	0
pubchem.compound:5311027	UMLS:C2931662	0
pubchem.compound:86567195	UMLS:C0004352	0
pubchem.compound:3672	UMLS:C1854260	0
pubchem.compound:5282136	UMLS:C0424688	0
pubchem.compound:6918081	UMLS:C0030804	0
pubchem.compound:449193	UMLS:C0038273	0
CHEMBL:CHEMBL4594341	UMLS:C0023890	0
CHEMBL:CHEMBL3707227	UMLS:C0085298	0
pubchem.compound:9800068	UMLS:C1857811	0
pubchem.compound:667490	UMLS:C5779628	0
pubchem.compound:11243969	UMLS:C0009404	0
pubchem.compound:78131177	UMLS:C0001306	0
CHEMBL:CHEMBL1201468	UMLS:C5679613	0
pubchem.compound:10288191	UMLS:C2676840	0
pubchem.compound:517326	UMLS:C1864850	0
pubchem.compound:636380	UMLS:C1866029	0
CHEMBL:CHEMBL3545159	UMLS:C0751895	0
pubchem.compound:24745335	UMLS:C0009080	0
CHEMBL:CHEMBL2109072	UMLS:C0018944	0
CHEMBL:CHEMBL1201562	UMLS:C0002871	0
pubchem.compound:5991	UMLS:C4273747	0
CHEMBL:CHEMBL4297779	UMLS:C4479526	0
pubchem.compound:67462786	UMLS:C1836694	0
pubchem.compound:19371515	UMLS:C0020476	0
CHEMBL:CHEMBL2095222	UMLS:C3266898	0
pubchem.compound:68210102	UMLS:C0021051	0
pubchem.compound:60165029	UMLS:C0002452	0
CHEMBL:CHEMBL2109636	UMLS:C0018965	0
pubchem.compound:70687254	UMLS:C4274995	0
CHEMBL:CHEMBL1742992	UMLS:C4022990	0
pubchem.compound:62937	UMLS:C0266463	0
pubchem.compound:62770	UMLS:C0079772	0
CHEMBL:CHEMBL4594334	UMLS:C0011303	0
CHEMBL:CHEMBL4297828	UMLS:C0023492	0
pubchem.compound:84003	UMLS:C0001969	0
pubchem.compound:6509979	UMLS:C1861863	0
pubchem.compound:4474	UMLS:C0472792	0
pubchem.compound:1775	UMLS:C3178805	0
pubchem.compound:16961	UMLS:C0017551	0
pubchem.compound:71717200	UMLS:C5680508	0
pubchem.compound:5281056	UMLS:C0079301	0
pubchem.compound:11622909	UMLS:C0149782	0
pubchem.compound:107969	UMLS:C4021085	0
pubchem.compound:3168	UMLS:C0265747	0
CHEMBL:CHEMBL1201823	UMLS:C4693912	0
CHEMBL:CHEMBL4297711	UMLS:C0392550	0
pubchem.compound:443967	UMLS:C3551954	0
pubchem.compound:60198	UMLS:C1833590	0
pubchem.compound:9966051	UMLS:C0009207	0
CHEMBL:CHEMBL2109465	UMLS:C0042138	0
pubchem.compound:68727	UMLS:C0038273	0
pubchem.compound:3059	UMLS:C0085628	0
pubchem.compound:3354	UMLS:C0040592	0
pubchem.compound:31101	UMLS:C0007124	0
CHEMBL:CHEMBL4297789	UMLS:C1866560	0
pubchem.compound:445643	UMLS:C0040128	0
CHEMBL:CHEMBL4298092	UMLS:C0260662	0
pubchem.compound:9936746	UMLS:C0334401	0
pubchem.compound:2333	UMLS:C4310778	0
pubchem.compound:11001318	UMLS:C0221765	0
pubchem.compound:4100	UMLS:C0398794	0
pubchem.compound:208898	UMLS:C4707180	0
pubchem.compound:5152	UMLS:C4225360	0
pubchem.compound:3152	UMLS:C0003486	0
pubchem.compound:82153	UMLS:C0546264	0
CHEMBL:CHEMBL2108350	UMLS:C0027609	0
pubchem.compound:71228883	UMLS:C0027404	0
pubchem.compound:5311128	UMLS:C0220994	0
CHEMBL:CHEMBL4297949	UMLS:C1865869	0
pubchem.compound:104741	UMLS:C2931218	0
pubchem.compound:91971505	UMLS:C0344925	0
CHEMBL:CHEMBL1201558	UMLS:C0162674	0
pubchem.compound:44564108	UMLS:C0206669	0
pubchem.compound:2733525	UMLS:C3808920	0
pubchem.compound:4946	UMLS:C3266898	0
pubchem.compound:5918	UMLS:C0011991	0
pubchem.compound:6435415	UMLS:C4551714	0
pubchem.compound:6047	UMLS:C0026106	0
CHEMBL:CHEMBL4298207	UMLS:C0009363	0
pubchem.compound:71600085	UMLS:C0149721	0
pubchem.compound:135398744	UMLS:C0376407	0
pubchem.compound:54746	UMLS:C0206641	0
pubchem.compound:8514	UMLS:C0006845	0
pubchem.compound:9930049	UMLS:C0342384	0
pubchem.compound:4192	UMLS:C1631597	0
pubchem.compound:151194	UMLS:C0206641	0
CHEMBL:CHEMBL1981592	UMLS:C5680365	0
CHEMBL:CHEMBL2109058	UMLS:C0428977	0
CHEMBL:CHEMBL1743029	UMLS:C0154536	0
pubchem.compound:39912	UMLS:C1837245	0
CHEMBL:CHEMBL4594505	UMLS:C0013423	0
pubchem.compound:91885457	UMLS:C0342898	0
pubchem.compound:9887712	UMLS:C0005818	0
pubchem.compound:9864881	UMLS:C0740340	0
pubchem.compound:54454	UMLS:C0020550	0
pubchem.compound:24771867	UMLS:C0022548	0
pubchem.compound:3261	UMLS:C4748803	0
CHEMBL:CHEMBL4650299	UMLS:C0409495	0
pubchem.compound:5282226	UMLS:C0553707	0
pubchem.compound:5745	UMLS:C0078918	0
pubchem.compound:44146842	UMLS:C0281267	0
pubchem.compound:9865515	UMLS:C0431904	0
pubchem.compound:3519	UMLS:C0236964	0
pubchem.compound:23729157	UMLS:C2751492	0
CHEMBL:CHEMBL1201550	UMLS:C0003838	0
CHEMBL:CHEMBL2108185	UMLS:C0221355	0
pubchem.compound:11591741	UMLS:C0178417	0
pubchem.compound:118878093	UMLS:C0476273	0
pubchem.compound:60795	UMLS:C0036875	0
pubchem.compound:4095	UMLS:C2317073	0
CHEMBL:CHEMBL2108359	UMLS:C1868111	0
pubchem.compound:117947097	UMLS:C1862839	0
pubchem.compound:9444	UMLS:C0271092	0
pubchem.compound:71228883	UMLS:C5543267	0
pubchem.compound:1775	UMLS:C0008519	0
CHEMBL:CHEMBL1201467	UMLS:C1858656	0
CHEMBL:CHEMBL3707328	UMLS:C2678477	0
CHEMBL:CHEMBL3989989	UMLS:C4748777	0
pubchem.compound:148196	UMLS:C4016299	0
pubchem.compound:86705695	UMLS:C0020443	0
pubchem.compound:135409409	UMLS:C0085084	0
pubchem.compound:50905713	UMLS:C0270853	0
pubchem.compound:2477	UMLS:C5436935	0
pubchem.compound:43157	UMLS:C0018213	0
CHEMBL:CHEMBL4297728	UMLS:C5437588	0
CHEMBL:CHEMBL4297551	UMLS:C1720861	0
pubchem.compound:9955977	UMLS:C0024314	0
pubchem.compound:118196485	UMLS:C0751039	0
pubchem.compound:23480	UMLS:C3150956	0
pubchem.compound:9926791	UMLS:C1260899	0
pubchem.compound:182137	UMLS:C3888523	0
pubchem.compound:16662431	UMLS:C4017280	0
pubchem.compound:49841217	UMLS:C1863061	0
pubchem.compound:448601	UMLS:C0265306	0
pubchem.compound:5906	UMLS:C1862373	0
pubchem.compound:58557659	UMLS:C0948039	0
pubchem.compound:449193	UMLS:C0020578	0
CHEMBL:CHEMBL3833307	UMLS:C4014294	0
pubchem.compound:517326	UMLS:C0242342	0
pubchem.compound:5405	UMLS:C5680057	0
pubchem.compound:60947	UMLS:C5543531	0
pubchem.compound:134129852	UMLS:C5676969	0
CHEMBL:CHEMBL2108738	UMLS:C0017185	0
pubchem.compound:11954316	UMLS:C0477317	0
pubchem.compound:129228	UMLS:C0029771	0
pubchem.compound:24780598	UMLS:C0005683	0
pubchem.compound:3033	UMLS:C0014836	0
pubchem.compound:121490161	UMLS:C0152421	0
pubchem.compound:10096344	UMLS:C4748251	0
pubchem.compound:11982961	UMLS:C1968843	0
pubchem.compound:4147757	UMLS:C3151139	0
pubchem.compound:444795	UMLS:C0000737	0
pubchem.compound:896	UMLS:C0026272	0
CHEMBL:CHEMBL595	UMLS:C3489532	0
pubchem.compound:67479909	UMLS:C3279657	0
pubchem.compound:4922	UMLS:C0023493	0
pubchem.compound:441409	UMLS:C0338480	0
pubchem.compound:15951529	UMLS:C0015230	0
pubchem.compound:145948323	UMLS:C0399352	0
CHEMBL:CHEMBL2109204	UMLS:C1704429	0
pubchem.compound:52911611	UMLS:C5676998	0
pubchem.compound:2678	UMLS:C1836653	0
CHEMBL:CHEMBL2108893	UMLS:C5561981	0
pubchem.compound:23724914	UMLS:C0236736	0
pubchem.compound:5734	UMLS:C0451641	0
pubchem.compound:54454	UMLS:C0740394	0
pubchem.compound:130904	UMLS:C0020429	0
pubchem.compound:5282226	UMLS:C4693912	0
CHEMBL:CHEMBL2108893	UMLS:C0017636	0
pubchem.compound:60165029	UMLS:C4551474	0
pubchem.compound:2802	UMLS:C1833590	0
pubchem.compound:5775	UMLS:C5679828	0
pubchem.compound:2541	UMLS:C0085583	0
pubchem.compound:118161062	UMLS:C1299247	0
pubchem.compound:65015	UMLS:C3489627	0
pubchem.compound:45380979	UMLS:C0339985	0
pubchem.compound:46216795	UMLS:C1849340	0
pubchem.compound:16662431	UMLS:C0403823	0
pubchem.compound:5360733	UMLS:C4721436	0
pubchem.compound:3494	UMLS:C0029531	0
pubchem.compound:134436906	UMLS:C1859778	0
pubchem.compound:11154555	UMLS:C0012736	0
CHEMBL:CHEMBL3707277	UMLS:C1866560	0
pubchem.compound:57469	UMLS:C0023014	0
pubchem.compound:2724118	UMLS:C4016056	0
CHEMBL:CHEMBL1201584	UMLS:C0031117	0
pubchem.compound:9852746	UMLS:C0345030	0
pubchem.compound:65326	UMLS:C1968843	0
pubchem.compound:121586	UMLS:C4750837	0
CHEMBL:CHEMBL4594357	UMLS:C1854416	0
CHEMBL:CHEMBL2109636	UMLS:C0221043	0
pubchem.compound:2333	UMLS:C4021387	0
pubchem.compound:3157	UMLS:C1720824	0
pubchem.compound:3081927	UMLS:C0013261	0
pubchem.compound:1548943	UMLS:C2673866	0
CHEMBL:CHEMBL1743082	UMLS:C0006012	0
pubchem.compound:54676228	UMLS:C3266898	0
pubchem.compound:135413520	UMLS:C1969053	0
pubchem.compound:5359	UMLS:C0015530	0
pubchem.compound:5486971	UMLS:C0036572	0
pubchem.compound:135564985	UMLS:C4748838	0
pubchem.compound:5288320	UMLS:C2676723	0
pubchem.compound:2333	UMLS:C0157918	0
pubchem.compound:25267009	UMLS:C2930970	0
pubchem.compound:5574	UMLS:C0007001	0
pubchem.compound:16136245	UMLS:C0032460	0
pubchem.compound:9852746	UMLS:C3541994	0
pubchem.compound:71186236	UMLS:C5774256	0
pubchem.compound:2678	UMLS:C0008043	0
pubchem.compound:71412	UMLS:C0162557	0
CHEMBL:CHEMBL3833373	UMLS:C4021784	0
CHEMBL:CHEMBL2108184	UMLS:C0009363	0
pubchem.compound:3052762	UMLS:C0270496	0
pubchem.compound:2375	UMLS:C4551972	0
pubchem.compound:4740	UMLS:C0018818	0
pubchem.compound:11434515	UMLS:C0546264	0
pubchem.compound:443936	UMLS:C1968729	0
pubchem.compound:71491931	UMLS:C0149745	0
pubchem.compound:4054	UMLS:C0027055	0
pubchem.compound:5878	UMLS:C4049090	0
pubchem.compound:13791	UMLS:C5830244	0
pubchem.compound:9578005	UMLS:C0003872	0
pubchem.compound:359	UMLS:C4748455	0
CHEMBL:CHEMBL5315126	UMLS:C3489789	0
CHEMBL:CHEMBL4297700	UMLS:C3151356	0
pubchem.compound:36811	UMLS:C0085129	0
pubchem.compound:169870	UMLS:C0040411	0
CHEMBL:CHEMBL4297832	UMLS:C5681191	0
CHEMBL:CHEMBL2108481	UMLS:C1843139	0
CHEMBL:CHEMBL3545262	UMLS:C0014170	0
pubchem.compound:68844	UMLS:C0152031	0
pubchem.compound:5354	UMLS:C4014918	0
CHEMBL:CHEMBL3833307	UMLS:C2750413	0
pubchem.compound:4456	UMLS:C1854912	0
pubchem.compound:25062766	UMLS:C3810380	0
pubchem.compound:44181686	UMLS:C0340427	0
pubchem.compound:9794485	UMLS:C4024936	0
pubchem.compound:4768	UMLS:C0030354	0
pubchem.compound:25062766	UMLS:C0079772	0
pubchem.compound:54677470	UMLS:C4025650	0
pubchem.compound:92786	UMLS:C0345049	0
pubchem.compound:9931954	UMLS:C0002452	0
pubchem.compound:59227	UMLS:C0004936	0
pubchem.compound:2726	UMLS:C3150417	0
pubchem.compound:443939	UMLS:C1136209	0
CHEMBL:CHEMBL413	UMLS:C3553788	0
pubchem.compound:13620391	UMLS:C0151313	0
pubchem.compound:53465279	UMLS:C0078918	0
pubchem.compound:11450633	UMLS:C0079541	0
pubchem.compound:3081927	UMLS:C5680509	0
CHEMBL:CHEMBL3707227	UMLS:C0021841	0
pubchem.compound:18343	UMLS:C4021768	0
CHEMBL:CHEMBL2108738	UMLS:C0752332	0
CHEMBL:CHEMBL4650398	UMLS:C1850451	0
CHEMBL:CHEMBL121	UMLS:C1861922	0
CHEMBL:CHEMBL2109653	UMLS:C1333813	0
pubchem.compound:5386	UMLS:C0027796	0
pubchem.compound:5280723	UMLS:C0003493	0
pubchem.compound:5732	UMLS:C1846862	0
pubchem.compound:3156	UMLS:C5680508	0
CHEMBL:CHEMBL1742982	UMLS:C0020295	0
pubchem.compound:5359	UMLS:C0029131	0
pubchem.compound:25267009	UMLS:C2751642	0
pubchem.compound:9827599	UMLS:C0752282	0
pubchem.compound:9294	UMLS:C4023106	0
pubchem.compound:64150	UMLS:C0268467	0
pubchem.compound:36314	UMLS:C5575702	0
pubchem.compound:10184653	UMLS:C4512055	0
CHEMBL:CHEMBL3707326	UMLS:C3809888	0
pubchem.compound:13342	UMLS:C0024790	0
pubchem.compound:28417	UMLS:C5543243	0
pubchem.compound:23649427	UMLS:C1837873	0
CHEMBL:CHEMBL2109653	UMLS:C3150968	0
pubchem.compound:5742	UMLS:C0034050	0
