"feature","geneName","avgLog2CPM","avgLog2FC","P.Value","FDR","DE","chromosome","startPos","endPos","geneStrand","geneLength","exonLength","geneGC","exonGC","intronGC","geneType","avgCPM","avgFC"
"ENSMUSG00000040405","Havcr1",5.31078812753303,5.77210729214182,3.04473841785633e-15,2.04071804034395e-12,1,"11",46625907,46670405,"+",44499,2300,0.430738,0.435652,0.430471,"protein_coding",39.6923239316536,54.6483977300315
"ENSMUSG00000071708","Sms",5.22091474004196,-0.643811089615647,3.08443060653685e-15,2.04071804034395e-12,-1,"X",156226851,156275283,"-",48433,5999,0.416605,0.423904,0.415573,"protein_coding",37.2951142197232,0.640020007383513
"ENSMUSG00000014164","Klhl3",5.28398438764337,-0.938887722518032,4.19277160502247e-15,2.64792584909919e-12,-1,"13",58148042,58261406,"-",113365,7304,0.480435,0.518894,0.477786,"protein_coding",38.9616909647234,0.521634891326834
"ENSMUSG00000026605","Cenpf",3.60084278948597,2.25616149719706,5.9663855795416e-15,3.21858207205329e-12,1,"1",189372803,189420283,"-",47481,15415,0.4115,0.431463,0.401902,"protein_coding",12.1328181774628,4.77718748307362
"ENSMUSG00000029108","Pcdh7",3.72801321322211,1.60800515298538,6.02296918622323e-15,3.21858207205329e-12,1,"5",57875309,58290572,"+",415264,10597,0.366414,0.442484,0.364422,"protein_coding",13.250851941476,3.04830054851076
"ENSMUSG00000029154","Cwh43",3.51144057211453,-1.41155413893271,5.83042596483309e-15,3.21858207205329e-12,-1,"5",73563418,73610778,"+",47361,2899,0.435747,0.491549,0.432109,"protein_coding",11.4037828837577,0.375906524478898
"ENSMUSG00000062991","Nrg1",4.33287140221145,1.70132069507244,5.7056979584654e-15,3.21858207205329e-12,1,"8",32304579,33374825,"-",1070247,15412,0.394492,0.442447,0.393791,"protein_coding",20.152283281101,3.25198520776591
"ENSMUSG00000020019","Ntn4",6.06888620987418,-0.647311377646,6.74608666367295e-15,3.34750457518114e-12,-1,"10",93476543,93583069,"+",106527,3730,0.432045,0.511796,0.429151,"protein_coding",67.1300219892917,0.63846906360466
"ENSMUSG00000096107","Gm16505",1.40727588395847,-2.70482126159716,6.66342991055326e-15,3.34750457518114e-12,-1,"13",3408273,3413862,"+",5590,1624,0.543389,0.600369,0.52005,"transcribed_unprocessed_pseudogene",2.65235867784821,0.153379623491023
"ENSMUSG00000036853","Mcoln3",3.63101755054755,1.30744605160183,8.74930398039264e-15,4.19182170701984e-12,1,"3",145823205,145847561,"+",24357,3454,0.45459,0.462942,0.45321,"protein_coding",12.3892551614183,2.47503006742657
"ENSMUSG00000061718","Ppp1r1b",6.00518651302853,-1.3527330284299,1.15031353693634e-14,5.32748542739785e-12,-1,"11",98239230,98248622,"+",9393,2919,0.55526,0.585817,0.54148,"protein_coding",64.2304951492208,0.391549597909167
"ENSMUSG00000006269","Atp6v1b1",6.62774366982838,-1.00911252166374,1.20415676988249e-14,5.39695295507977e-12,-1,"6",83719972,83735837,"+",15866,4367,0.529215,0.50103,0.53992,"protein_coding",98.8893786695223,0.496851793654497
"ENSMUSG00000001506","Col1a1",7.49103607565157,2.20078791714375,1.34131407440023e-14,5.82381804678652e-12,1,"11",94827050,94843868,"+",16819,6511,0.539184,0.574105,0.517124,"protein_coding",179.898092054444,4.59730351754126
"ENSMUSG00000001131","Timp1",2.98586582252822,4.29432395232059,1.55924480217332e-14,6.2806026365072e-12,1,"X",20736405,20740974,"+",4570,882,0.469687,0.529478,0.455384,"protein_coding",7.92200615710765,19.6209630875202
"ENSMUSG00000034159","Mab21l4",2.73784357282884,1.86638833119251,1.62733334471181e-14,6.2806026365072e-12,1,"1",93079071,93088670,"-",9600,2361,0.538702,0.556544,0.532882,"protein_coding",6.67072502433291,3.64618643692271
"ENSMUSG00000035413","Tmem98",4.1729394147616,1.31625194436057,1.53651815292944e-14,6.2806026365072e-12,1,"11",80701001,80712859,"+",11859,1626,0.49435,0.569496,0.482408,"protein_coding",18.0376490965977,2.4901833047688
"ENSMUSG00000090634","Gm8126",3.19946879479315,2.61946684668424,1.5858848783265e-14,6.2806026365072e-12,1,"14",43116106,43124256,"+",8151,1759,0.399141,0.374076,0.40604,"protein_coding",9.18620382579286,6.14522931313519
"ENSMUSG00000026043","Col3a1",7.64795742640715,2.21399143979731,1.89325400307253e-14,7.10942462667291e-12,1,"1",45350698,45388866,"+",38169,9766,0.358573,0.442965,0.329554,"protein_coding",200.56936101682,4.63957108913613
"ENSMUSG00000031766","Slc12a3",9.3624948718649,-0.912243584323678,2.02702345767571e-14,7.22140100537086e-12,-1,"8",95055829,95092842,"+",37014,11096,0.513495,0.518295,0.51144,"protein_coding",658.251398824656,0.531358115214079
"ENSMUSG00000063903","Klk1",9.80670277603944,-1.24871260953977,2.02107908239211e-14,7.22140100537086e-12,-1,"7",43874784,43879042,"+",4259,1072,0.519493,0.526119,0.517263,"protein_coding",895.595069804108,0.420823562483128
"ENSMUSG00000039405","Prss23",5.44644013548509,1.32733505446184,2.43597120151262e-14,8.4613459684541e-12,1,"7",89156991,89176395,"-",19405,3761,0.435168,0.468227,0.42722,"protein_coding",43.605558205178,2.50938712659808
"ENSMUSG00000020297","Nsg2",0.347575514436673,-2.04299788312535,2.9834458547132e-14,1.01102430988744e-11,-1,"11",31950463,32009202,"+",58740,4151,0.463746,0.468321,0.463399,"protein_coding",1.27242049467445,0.242658973497019
"ENSMUSG00000068196","Col8a1",4.14627882683451,2.61936739547277,3.19299021675008e-14,1.05627157313156e-11,1,"16",57444621,57575100,"-",130480,7829,0.395596,0.452548,0.391961,"protein_coding",17.7073795892341,6.1448057104898
"ENSMUSG00000020303","Stc2",3.34338011600814,2.12270747333699,3.38401155944132e-14,1.09342922341576e-11,1,"11",31307307,31320074,"-",12768,5171,0.499491,0.507639,0.493944,"protein_coding",10.1498050758255,4.35510491318142
"ENSMUSG00000029811","Aoc1",3.83750021636579,3.16632488860695,4.58384738995843e-14,1.44745399172915e-11,1,"6",48849830,48886122,"+",36293,3250,0.444561,0.527385,0.436414,"protein_coding",14.2956094030905,8.97756932592845
"ENSMUSG00000028392","Bspry",6.02833744572493,0.98603092279148,6.11924167980378e-14,1.88934986442653e-11,1,"4",62398290,62415535,"+",17246,2345,0.475964,0.565458,0.461879,"protein_coding",65.2695164373163,1.98072819842984
"ENSMUSG00000029762","Akr1b8",3.0403939863861,1.49832007108849,6.56429401179746e-14,1.9827021956503e-11,1,"6",34331054,34345398,"+",14345,1489,0.452245,0.504365,0.446208,"protein_coding",8.22715706536231,2.82513551356476
"ENSMUSG00000003469","Phyhip",2.03918592853261,-1.30621636994075,7.11765155495865e-14,2.10409895116161e-11,-1,"14",70694916,70706272,"+",11357,2904,0.530204,0.578512,0.513606,"protein_coding",4.11013542053203,0.404380022247898
"ENSMUSG00000018920","Cxcl16",6.61556670602042,0.929985996765674,7.65301396264201e-14,2.21522866660309e-11,1,"11",70344809,70350810,"-",6002,3015,0.474254,0.496186,0.45211,"protein_coding",98.0582225669395,1.90525750299267
"ENSMUSG00000027239","Mdk",5.7042156037205,1.29082569548035,7.9988830935909e-14,2.2680914633133e-11,1,"2",91760150,91762642,"-",2493,1318,0.574238,0.578907,0.568995,"protein_coding",52.1362749657196,2.44668045968666
"ENSMUSG00000035783","Acta2",6.30532732855429,1.31928367510235,9.07023713548371e-14,2.52043749520821e-11,1,"19",34218490,34232990,"-",14501,2186,0.445931,0.483989,0.439175,"protein_coding",79.0847340280645,2.49542176687316
"ENSMUSG00000044254","Pcsk9",2.76476595859607,2.07977966104419,9.27635379212589e-14,2.52716979583916e-11,1,"4",106299526,106321526,"-",22001,3509,0.525727,0.584782,0.514521,"protein_coding",6.79637736041044,4.22742646939883
"ENSMUSG00000032332","Col12a1",5.02170440590668,2.21082574639785,9.63124323244918e-14,2.56919697829404e-11,1,"9",79506273,79626113,"-",119841,15162,0.395035,0.463263,0.385153,"protein_coding",32.4850586753428,4.62940167934828
"ENSMUSG00000042784","Muc1",5.25904256845251,1.3768732642556,9.80044910389983e-14,2.56919697829404e-11,1,"3",89136364,89140688,"+",4325,2338,0.535846,0.540633,0.530211,"protein_coding",38.2938967141973,2.59704905370696
"ENSMUSG00000024529","Lox",3.90319089452664,2.56577361660625,1.24216212950078e-13,3.19603715320072e-11,1,"18",52649139,52662939,"-",13801,4770,0.415652,0.438784,0.403433,"protein_coding",14.961582719801,5.92072405678098
"ENSMUSG00000018865","Sult4a1",0.695426187143663,3.91782899299852,1.40484209966776e-13,3.54888656959707e-11,1,"15",83960298,83989955,"-",29658,2504,0.523721,0.567891,0.519648,"protein_coding",1.61936273906511,15.1141610226087
"ENSMUSG00000006216","Clcnkb",7.55625955913425,-0.897089149037198,1.76383944076432e-13,4.37621164106775e-11,-1,"4",141131664,141143325,"-",11662,2620,0.535975,0.566794,0.527043,"protein_coding",188.217838788003,0.536969053639302
"ENSMUSG00000001228","Uhrf1",3.24965132395906,1.81489537342805,1.97593023095799e-13,4.73337493602247e-11,1,"17",56610321,56630486,"+",20166,4241,0.524473,0.543268,0.519467,"protein_coding",9.51135790095457,3.51834113866164
"ENSMUSG00000023067","Cdkn1a",4.36373651223805,1.79763034692126,1.96637618201204e-13,4.73337493602247e-11,1,"17",29309950,29319701,"+",9752,3549,0.538611,0.524373,0.546759,"protein_coding",20.5880674952701,3.47648736677145
"ENSMUSG00000037509","Arhgef4",1.93450297575281,1.49408511181844,2.01179547719419e-13,4.73760785765018e-11,1,"1",34717269,34852390,"+",135122,9846,0.465109,0.561954,0.457498,"protein_coding",3.8224641627275,2.81685462930905
"ENSMUSG00000028068","Iqgap3",2.31947178555013,2.11819496409674,2.07618496488671e-13,4.76715979751442e-11,1,"3",87989278,88028355,"+",39078,11350,0.513755,0.533568,0.505644,"protein_coding",4.99149432341023,4.3415041536078
"ENSMUSG00000028519","Dab1",3.06244235260702,0.939597002349412,2.09296637144364e-13,4.76715979751442e-11,1,"4",103476556,104602041,"+",1125486,7883,0.427459,0.476215,0.427115,"protein_coding",8.35385644828561,1.91799239817517
"ENSMUSG00000002020","Ltbp2",3.46770471701559,3.19906257734022,2.52814401733346e-13,5.66075922205864e-11,1,"12",84829986,84923306,"-",93321,8149,0.499186,0.573935,0.492034,"protein_coding",11.0632604322918,9.18361764443518
"ENSMUSG00000038670","Mybpc2",1.61499472743326,3.94731115548446,2.56677580962786e-13,5.66075922205864e-11,1,"7",44151123,44174080,"-",22958,3583,0.519101,0.545632,0.514194,"protein_coding",3.06310479954711,15.4262036354204
"ENSMUSG00000020905","Usp43",3.69663886328999,1.06302087386923,2.85116908192034e-13,6.18970987878144e-11,1,"11",67745349,67812979,"-",67631,4728,0.455966,0.55203,0.448746,"protein_coding",12.9657959023089,2.08930175491403
"ENSMUSG00000027715","Ccna2",2.91847865970758,1.64917889461766,3.24148534628658e-13,6.92879960020088e-11,1,"3",36619014,36626299,"-",7286,4074,0.439671,0.460972,0.412644,"protein_coding",7.56048434169216,3.13655072542047
"ENSMUSG00000048612","Myof",5.60274590784419,1.29499270689672,3.78117786346028e-13,7.95995230832078e-11,1,"19",37887484,38032025,"-",144542,12549,0.446296,0.473902,0.443671,"protein_coding",48.5953345515114,2.45375755025587
"ENSMUSG00000031146","Plp2",4.7745655331673,1.29793848917704,3.94782768810107e-13,8.18673401469796e-11,1,"X",7534180,7537629,"-",3450,1330,0.514642,0.521805,0.510146,"protein_coding",27.3707968798725,2.45877289990138
"ENSMUSG00000020566","Atp6v1c2",4.46809924696989,-1.10042376397525,4.43978257525889e-13,8.988896143238e-11,-1,"12",17334722,17379360,"-",44639,2156,0.479793,0.52551,0.477473,"protein_coding",22.1325725725008,0.466379485625746
"ENSMUSG00000060459","Kng2",8.0654480493691,-0.636426083864649,4.46404083693265e-13,8.988896143238e-11,-1,"16",22804604,22848232,"-",43629,2721,0.423329,0.47556,0.419855,"protein_coding",267.880925883563,0.643304602763375
"ENSMUSG00000041189","Chrnb1",4.09043997731028,1.38216807461989,5.28725550286047e-13,1.04944468509633e-10,1,"11",69674862,69686769,"-",11908,2521,0.463761,0.512098,0.450778,"protein_coding",17.0351173103877,2.60659795086982
"ENSMUSG00000035356","Nfkbiz",5.10709951494603,1.54370829954519,5.44075762519598e-13,1.06470262597849e-10,1,"16",55631738,55659262,"-",27525,5003,0.449317,0.484909,0.44141,"protein_coding",34.4659413652678,2.91542922347165
"ENSMUSG00000029086","Prom1",6.13909776181687,1.2512483295584,5.5873092663027e-13,1.07819548536125e-10,1,"5",44150962,44259374,"-",108413,7139,0.443982,0.464911,0.442507,"protein_coding",70.4778379292901,2.38047310564692
"ENSMUSG00000044788","Fads6",4.56895247157932,-0.892016104804809,5.68196399378529e-13,1.08144120177607e-10,-1,"11",115170448,115188489,"-",18042,6647,0.520592,0.527155,0.516763,"protein_coding",23.7351369936961,0.538860557187836
"ENSMUSG00000029414","Kntc1",1.39503931838813,1.94587677539534,6.19077393251657e-13,1.1468615069118e-10,1,"5",123887779,123959656,"+",71878,7918,0.44252,0.462491,0.440048,"protein_coding",2.62995719478744,3.85271849060179
"ENSMUSG00000043613","Mmp3",1.3118246038103,3.04978847049612,6.16385912407289e-13,1.1468615069118e-10,1,"9",7445822,7455975,"+",10154,1791,0.40786,0.456728,0.397393,"protein_coding",2.48255314737641,8.2809051464668
"ENSMUSG00000029304","Spp1",10.4229853276348,2.21819729610914,6.29029712474835e-13,1.14996563488492e-10,1,"5",104582984,104588916,"+",5933,1640,0.378793,0.442073,0.354613,"protein_coding",1372.87573141202,4.65311646074875
"ENSMUSG00000061959","Ces1e",6.41809102670239,-0.821412071992979,6.57809577604801e-13,1.18696185340794e-10,-1,"8",93927846,93956247,"-",28402,2175,0.421358,0.488736,0.415771,"protein_coding",85.5141363528183,0.565887795396767
"ENSMUSG00000014599","Csf1",4.82245841225404,1.06377191130696,6.66957133579288e-13,1.18803877101931e-10,1,"3",107648364,107667785,"-",19422,5269,0.512229,0.526665,0.506854,"protein_coding",28.2946701169407,2.09038968569296
"ENSMUSG00000018593","Sparc",9.0511620376292,1.24981670057795,7.09567669836792e-13,1.23234165058905e-10,1,"11",55285326,55314009,"-",28684,3776,0.494509,0.509004,0.492311,"protein_coding",530.482753258437,2.37811206340243
"ENSMUSG00000032997","Chpf",5.33231486798052,1.02468415014861,7.0588830124068e-13,1.23234165058905e-10,1,"1",75451213,75455951,"-",4739,3852,0.582735,0.603063,0.494357,"protein_coding",40.2890216657357,2.03451391842906
"ENSMUSG00000039154","Shd",3.31852821112156,-1.42420941074706,7.66963078345782e-13,1.28387771211281e-10,-1,"17",56277467,56283625,"+",6159,2567,0.53394,0.57538,0.504316,"protein_coding",9.97646154802028,0.372623505552291
"ENSMUSG00000042647","Acad12",5.68850628937693,-0.637963601361986,7.55856634250401e-13,1.28387771211281e-10,-1,"5",121734838,121757001,"-",22164,6505,0.479899,0.500999,0.471133,"protein_coding",51.5716496483833,0.64261938156867
"ENSMUSG00000100486","Gm4131",2.20066761171029,-1.34778265192541,7.62447205983864e-13,1.28387771211281e-10,-1,"14",62700863,62804370,"-",103508,1872,0.445574,0.52297,0.444148,"protein_coding",4.59692016727189,0.39289544522629
"ENSMUSG00000033952","Aspm",1.67207218220725,2.13743297298721,8.5035882253631e-13,1.40653398575232e-10,1,"1",139382510,139421829,"+",39320,11563,0.403825,0.438122,0.389537,"protein_coding",3.18671982196704,4.39978483618704
"ENSMUSG00000022385","Gtse1",1.57888406779792,1.60855154748983,8.67023376563237e-13,1.41722621105525e-10,1,"15",85743946,85760774,"+",16829,2730,0.511647,0.544322,0.50532,"protein_coding",2.98738684391099,3.04945525554397
"ENSMUSG00000020483","Dynll2",7.65908529106543,-0.784588769860139,9.22976237264628e-13,1.49114323727381e-10,-1,"11",87870351,87878359,"-",8009,2732,0.504246,0.536603,0.487491,"protein_coding",202.12238396821,0.58051740604066
"ENSMUSG00000025196","Cpn1",6.59776959401401,0.939147595008972,1.07927414661536e-12,1.71992441220743e-10,1,"19",43944746,43974995,"-",30250,3679,0.478727,0.534384,0.47102,"protein_coding",96.8560051013579,1.91739502617376
"ENSMUSG00000058290","Espl1",2.45745238128109,1.71719877550374,1.08934322926625e-12,1.71992441220743e-10,1,"15",102204701,102232792,"+",28092,8719,0.485672,0.541461,0.460562,"protein_coding",5.49245970809428,3.28797373722946
"ENSMUSG00000028832","Stmn1",5.97511064914215,1.00127930473923,1.1964567754856e-12,1.84706338206633e-10,1,"4",134195631,134201154,"+",5524,1918,0.471845,0.431178,0.493481,"protein_coding",62.9053427189161,2.00177427949793
"ENSMUSG00000050395","Tnfsf15",3.66119732948133,1.40432850635531,1.18614430769031e-12,1.84706338206633e-10,1,"4",63642840,63663350,"-",20511,5824,0.437981,0.420158,0.44505,"protein_coding",12.6511561518905,2.64694552931114
"ENSMUSG00000016179","Camk1g",1.62836507918121,1.86820979582758,1.28242720107756e-12,1.95802676173315e-10,1,"1",193028654,193052606,"-",23953,2744,0.496117,0.534257,0.491183,"protein_coding",3.09162444632434,3.65079281162486
"ENSMUSG00000038943","Prc1",2.47672885365951,1.91454353514416,1.33762057646949e-12,2.02009785755077e-10,1,"7",79944198,79966007,"+",21810,8213,0.441607,0.435651,0.445204,"protein_coding",5.56633930714422,3.76994515438061
"ENSMUSG00000022462","Slc38a2",6.75035874908105,0.703258585274986,1.36844807159793e-12,2.04443198997652e-10,1,"15",96585273,96597611,"-",12339,8827,0.458421,0.438088,0.509541,"protein_coding",107.661509571827,1.62817817482572
"ENSMUSG00000024349","Sting1",3.29195412072383,1.43413061567428,1.63362730253329e-12,2.41464018525506e-10,1,"18",35866732,35873607,"-",6876,2734,0.500218,0.512802,0.49191,"protein_coding",9.79437966229083,2.7021928034176
"ENSMUSG00000035914","Cd276",1.88064356857482,2.19284970112097,1.81039877669987e-12,2.64775585299663e-10,1,"9",58431581,58462720,"-",31140,3649,0.505636,0.561798,0.498181,"protein_coding",3.68239290650742,4.57207700131758
"ENSMUSG00000034394","Lif",1.80479852947306,3.48028442735178,1.85567356135696e-12,2.65801324345295e-10,1,"11",4207557,4222514,"+",14958,4345,0.551915,0.53855,0.557388,"protein_coding",3.4938036443637,11.1601493375616
"ENSMUSG00000046432","Bex3",5.14794771914616,0.722262684881119,1.84469723958871e-12,2.65801324345295e-10,1,"X",135171002,135172727,"+",1726,970,0.588406,0.540206,0.650331,"protein_coding",35.4557502513452,1.64976745835334
"ENSMUSG00000027331","Knstrn",2.52203244759496,1.57338487903433,1.91117830182932e-12,2.70958278832822e-10,1,"2",118644484,118684438,"+",39955,5148,0.453647,0.470474,0.451158,"protein_coding",5.74390722702272,2.97602135545816
"ENSMUSG00000028222","Calb1",7.22164186512282,-1.32782760745629,2.01473737335532e-12,2.82755162276756e-10,-1,"4",15881264,15908064,"+",26801,4836,0.367761,0.364351,0.368512,"protein_coding",149.255663480914,0.398367647605726
"ENSMUSG00000022500","Litaf",5.98067251953047,0.853005595498887,2.03820227171591e-12,2.83187823632208e-10,1,"16",10777139,10884021,"-",106883,5149,0.483926,0.488056,0.483717,"protein_coding",63.1483231351677,1.8062600258773
"ENSMUSG00000022123","Scel",3.74137979172817,0.991337303539973,2.08148372268125e-12,2.86337968741913e-10,1,"14",103750778,103850233,"+",99456,2472,0.408748,0.455502,0.407556,"protein_coding",13.3741916562572,1.98802693499458
"ENSMUSG00000069516","Lyz2",6.40553071332414,1.90243403778411,2.14463487204925e-12,2.92132910904434e-10,1,"10",117113236,117118226,"-",4991,1312,0.470942,0.483232,0.466558,"protein_coding",84.7728692850653,3.73843393393698
"ENSMUSG00000061048","Cdh3",3.55373829644182,1.72508991412198,2.16672506814479e-12,2.92276486376735e-10,1,"8",107237523,107283929,"+",46407,4368,0.475736,0.520604,0.471074,"protein_coding",11.7430747120643,3.30600730887062
"ENSMUSG00000053113","Socs3",4.0464989436697,2.0807841788149,2.25712352637894e-12,2.98680371462028e-10,1,"11",117856905,117860873,"-",3969,2887,0.610383,0.590578,0.663275,"protein_coding",16.5240902941399,4.23037096121313
"ENSMUSG00000054640","Slc8a1",5.87198708641465,-1.43428003633208,2.26781514476303e-12,2.98680371462028e-10,-1,"17",81680534,82045806,"-",365273,18794,0.400808,0.405661,0.400545,"protein_coding",58.5658225342691,0.370031492050067
"ENSMUSG00000105987","AI506816",4.0360322174403,1.75580060523369,2.27869003706456e-12,2.98680371462028e-10,1,"5",23903294,23917665,"-",14372,4473,0.500522,0.494523,0.503233,"lncRNA",16.4046421412104,3.37713676363642
"ENSMUSG00000019942","Cdk1",2.58979218452858,1.86997189296229,2.39701657956743e-12,3.08371744041758e-10,1,"10",69170976,69188768,"-",17793,4924,0.470492,0.483144,0.465651,"protein_coding",6.02011974875205,3.65525458740649
"ENSMUSG00000027469","Tpx2",2.66208209415464,2.01605689726776,2.38114863376564e-12,3.08371744041758e-10,1,"2",152689884,152737241,"+",47358,4658,0.423887,0.477888,0.417996,"protein_coding",6.32945856651754,4.04476783854473
"ENSMUSG00000014602","Kif1a",1.97447300883552,2.12937256310492,2.6082638194345e-12,3.32469885387366e-10,1,"1",92943186,93029673,"-",86488,9277,0.513395,0.554597,0.508445,"protein_coding",3.92984662800241,4.37527155885138
"ENSMUSG00000078486","Perm1",2.08485191009872,-1.52575849584082,2.65226204818977e-12,3.35004808159533e-10,-1,"4",156300325,156305764,"+",5440,3897,0.519397,0.531691,0.488327,"protein_coding",4.24231547750931,0.347296915859339
"ENSMUSG00000034456","Uroc1",5.36116410816853,-1.29178677399105,2.79049329033678e-12,3.49289313296749e-10,-1,"6",90310266,90341533,"+",31268,3452,0.496114,0.53679,0.491066,"protein_coding",41.1027811089037,0.408444858021715
"ENSMUSG00000035910","Dcdc2a",4.58865127154336,1.39160381111223,3.14138611906465e-12,3.89700167306109e-10,1,"13",25239987,25394689,"+",154703,8271,0.436329,0.441785,0.436021,"protein_coding",24.0614431836524,2.62370189654605
"ENSMUSG00000036334","Igsf10",1.94895035711677,1.46745074908164,3.58443177993443e-12,4.40726505755831e-10,1,"3",59224156,59251815,"-",27660,10142,0.406052,0.452573,0.379117,"protein_coding",3.86093524309696,2.76532826469602
"ENSMUSG00000022967","Ifnar1",5.84733319282975,0.557385510084556,4.06429696634923e-12,4.95345105705756e-10,1,"16",91282126,91304329,"+",22204,5928,0.466964,0.485493,0.460215,"protein_coding",57.5735071397789,1.47159992723173
"ENSMUSG00000022887","Masp1",2.92900837414641,1.75320711040182,4.21935608613839e-12,5.09771595311363e-10,1,"16",23268167,23339565,"-",71399,9815,0.451623,0.480183,0.447071,"protein_coding",7.61586747427636,3.37107122749047
"ENSMUSG00000035107","Dcbld2",4.27199345680841,0.748129933499923,4.34960184696573e-12,5.20977310877085e-10,1,"16",58228806,58290090,"+",61285,8385,0.424711,0.470006,0.417532,"protein_coding",19.3196018415635,1.67961425024046
"ENSMUSG00000036545","Adamts2",4.13074940058449,1.50174906636624,4.64576472248141e-12,5.51694487642364e-10,1,"11",50492911,50698400,"+",205490,9312,0.486756,0.537371,0.484353,"protein_coding",17.5177963872607,2.83185827732066
