"feature","geneName","avgLog2CPM","avgLog2FC","P.Value","FDR","DE","chromosome","startPos","endPos","geneStrand","geneLength","exonLength","geneGC","exonGC","intronGC","geneType","avgCPM","avgFC"
"ENSMUSG00000019942","Cdk1",2.58979218452858,2.41228656756083,2.25031945369721e-15,9.19586426166735e-13,1,"10",69170976,69188768,"-",17793,4924,0.470492,0.483144,0.465651,"protein_coding",6.02011974875205,5.3231734198667
"ENSMUSG00000033952","Aspm",1.67207218220725,2.62813264836262,2.23114582973521e-15,9.19586426166735e-13,1,"1",139382510,139421829,"+",39320,11563,0.403825,0.438122,0.389537,"protein_coding",3.18671982196704,6.18225279728813
"ENSMUSG00000029811","Aoc1",3.83750021636579,3.5039973185311,2.86295106744104e-15,1.13650977517217e-12,1,"6",48849830,48886122,"+",36293,3250,0.444561,0.527385,0.436414,"protein_coding",14.2956094030905,11.3450991988179
"ENSMUSG00000045328","Cenpe",3.53412049866772,1.6586634685316,3.1524379776693e-15,1.21666592393715e-12,1,"3",134918298,134979372,"+",61075,8574,0.416609,0.433403,0.413867,"protein_coding",11.5844729121731,3.15723898489906
"ENSMUSG00000001506","Col1a1",7.49103607565157,2.3238303758039,3.37452592116967e-15,1.23383324075609e-12,1,"11",94827050,94843868,"+",16819,6511,0.539184,0.574105,0.517124,"protein_coding",179.898092054444,5.00659715168616
"ENSMUSG00000006398","Cdc20",3.21054304695663,2.05439219914427,3.33600046121792e-15,1.23383324075609e-12,1,"4",118290098,118294549,"-",4452,1859,0.509773,0.551372,0.479938,"protein_coding",9.25698925243716,4.15368611546125
"ENSMUSG00000038943","Prc1",2.47672885365951,2.3764745039431,3.5073571554087e-15,1.24951846967304e-12,1,"7",79944198,79966007,"+",21810,8213,0.441607,0.435651,0.445204,"protein_coding",5.56633930714422,5.19266265923346
"ENSMUSG00000031351","Zfp185",4.23158079026455,1.11963719488518,3.73579418203263e-15,1.29762810912903e-12,1,"X",72030945,72075149,"+",44205,3687,0.454981,0.457282,0.454772,"protein_coding",18.7859320419778,2.17292321538209
"ENSMUSG00000001517","Foxm1",2.59627376983275,1.91222848030855,5.82436034192599e-15,1.88194564164464e-12,1,"6",128339930,128353109,"+",13180,5746,0.502845,0.535503,0.4776,"protein_coding",6.04722714307221,3.76390047358707
"ENSMUSG00000020914","Top2a",3.82393226492001,2.36366515341524,5.75818882417972e-15,1.88194564164464e-12,1,"11",98883769,98915015,"-",31247,8977,0.413781,0.416175,0.412816,"protein_coding",14.1617953159962,5.1467622975062
"ENSMUSG00000038486","Sv2a",4.05708591372722,-1.01590420657073,5.69353441210466e-15,1.88194564164464e-12,-1,"3",96088467,96102837,"+",14371,4623,0.511134,0.540342,0.497281,"protein_coding",16.6457955062379,0.494518292593485
"ENSMUSG00000026043","Col3a1",7.64795742640715,2.3118188126201,6.36396311896778e-15,1.96490896833196e-12,1,"1",45350698,45388866,"+",38169,9766,0.358573,0.442965,0.329554,"protein_coding",200.56936101682,4.9650863641255
"ENSMUSG00000034394","Lif",1.80479852947306,4.20837411914642,6.32607501510843e-15,1.96490896833196e-12,1,"11",4207557,4222514,"+",14958,4345,0.551915,0.53855,0.557388,"protein_coding",3.4938036443637,18.4861657570371
"ENSMUSG00000060459","Kng2",8.0654480493691,-0.740535903781417,6.57522565348992e-15,1.98600402673019e-12,-1,"16",22804604,22848232,"-",43629,2721,0.423329,0.47556,0.419855,"protein_coding",267.880925883563,0.598516985775532
"ENSMUSG00000001131","Timp1",2.98586582252822,4.41227934068579,7.03648295951136e-15,2.08010413275427e-12,1,"X",20736405,20740974,"+",4570,882,0.469687,0.529478,0.455384,"protein_coding",7.92200615710765,21.2925870184978
"ENSMUSG00000003051","Elf3",5.30431824739678,1.3351880444977,7.66795996939359e-15,2.21955491280738e-12,1,"1",135181313,135186306,"-",4994,2208,0.547567,0.557518,0.539677,"protein_coding",39.5147191014612,2.52308366129681
"ENSMUSG00000027469","Tpx2",2.66208209415464,2.48436578307711,8.24315846201866e-15,2.33735599329158e-12,1,"2",152689884,152737241,"+",47358,4658,0.423887,0.477888,0.417996,"protein_coding",6.32945856651754,5.5958829397106
"ENSMUSG00000020566","Atp6v1c2",4.46809924696989,-1.27162303833879,8.8886327152372e-15,2.46997325891011e-12,-1,"12",17334722,17379360,"-",44639,2156,0.479793,0.52551,0.477473,"protein_coding",22.1325725725008,0.414193541123686
"ENSMUSG00000001403","Ube2c",2.21643715100938,2.30152673355211,1.03400523057939e-14,2.8169546418961e-12,1,"2",164611818,164620742,"+",8925,2593,0.50818,0.532588,0.498184,"protein_coding",4.64744293600767,4.92979185136583
"ENSMUSG00000068196","Col8a1",4.14627882683451,2.73000098471683,1.05442257587509e-14,2.81733601330934e-12,1,"16",57444621,57575100,"-",130480,7829,0.395596,0.452548,0.391961,"protein_coding",17.7073795892341,6.63456089495804
"ENSMUSG00000020019","Ntn4",6.06888620987418,-0.635733231892033,1.13528017426517e-14,2.90207054786476e-12,-1,"10",93476543,93583069,"+",106527,3730,0.432045,0.511796,0.429151,"protein_coding",67.1300219892917,0.643613622961296
"ENSMUSG00000034159","Mab21l4",2.73784357282884,1.89008713010314,1.13082058342822e-14,2.90207054786476e-12,1,"1",93079071,93088670,"-",9600,2361,0.538702,0.556544,0.532882,"protein_coding",6.67072502433291,3.70657609570424
"ENSMUSG00000035413","Tmem98",4.1729394147616,1.33048762841598,1.14879717959236e-14,2.90207054786476e-12,1,"11",80701001,80712859,"+",11859,1626,0.49435,0.569496,0.482408,"protein_coding",18.0376490965977,2.51487662933563
"ENSMUSG00000096107","Gm16505",1.40727588395847,-2.65023384931157,1.18338470978361e-14,2.93606199245242e-12,-1,"13",3408273,3413862,"+",5590,1624,0.543389,0.600369,0.52005,"transcribed_unprocessed_pseudogene",2.65235867784821,0.159294255999053
"ENSMUSG00000028832","Stmn1",5.97511064914215,1.19122023101634,1.21904083280843e-14,2.94024375889531e-12,1,"4",134195631,134201154,"+",5524,1918,0.471845,0.431178,0.493481,"protein_coding",62.9053427189161,2.28345796323454
"ENSMUSG00000036853","Mcoln3",3.63101755054755,1.29259217299408,1.22739411268121e-14,2.94024375889531e-12,1,"3",145823205,145847561,"+",24357,3454,0.45459,0.462942,0.45321,"protein_coding",12.3892551614183,2.44967808078299
"ENSMUSG00000029762","Akr1b8",3.0403939863861,1.58928868582753,1.29306339571101e-14,3.04505471525571e-12,1,"6",34331054,34345398,"+",14345,1489,0.452245,0.504365,0.446208,"protein_coding",8.22715706536231,3.00900955066921
"ENSMUSG00000058290","Espl1",2.45745238128109,2.0022279001595,1.63343781642713e-14,3.78249750357309e-12,1,"15",102204701,102232792,"+",28092,8719,0.485672,0.541461,0.460562,"protein_coding",5.49245970809428,4.00618182280723
"ENSMUSG00000032523","Hhatl",2.19356195453835,-1.61863911768257,1.72602268920402e-14,3.93137036783617e-12,-1,"9",121613082,121621573,"-",8492,2610,0.571311,0.588123,0.56385,"protein_coding",4.57433477677558,0.325642494903885
"ENSMUSG00000019278","Dpep1",6.75311671807016,-1.20831305073098,1.88747119520412e-14,4.22976206228484e-12,-1,"8",123912981,123928551,"+",15571,2474,0.505523,0.526677,0.501527,"protein_coding",107.867520607984,0.432774364760935
"ENSMUSG00000020330","Hmmr",2.18919975902747,2.28267772759864,2.08074316160902e-14,4.58886436307869e-12,1,"11",40592222,40624249,"-",32028,5413,0.407313,0.417144,0.405313,"protein_coding",4.56052450825819,4.8658023794551
"ENSMUSG00000050410","Tcf19",3.24720423781126,1.35346573309022,2.11447046863611e-14,4.59038323300471e-12,1,"17",35823631,35827721,"-",4091,1778,0.513692,0.552868,0.483564,"protein_coding",9.49523849723673,2.55525227583171
"ENSMUSG00000032332","Col12a1",5.02170440590668,2.33538113403104,2.32137107976546e-14,4.75766087602416e-12,1,"9",79506273,79626113,"-",119841,15162,0.395035,0.463263,0.385153,"protein_coding",32.4850586753428,5.04684274412959
"ENSMUSG00000035356","Nfkbiz",5.10709951494603,1.74208402453081,2.3003579476533e-14,4.75766087602416e-12,1,"16",55631738,55659262,"-",27525,5003,0.449317,0.484909,0.44141,"protein_coding",34.4659413652678,3.34518042186223
"ENSMUSG00000039405","Prss23",5.44644013548509,1.33166522611354,2.24142342217373e-14,4.75766087602416e-12,1,"7",89156991,89176395,"-",19405,3761,0.435168,0.468227,0.42722,"protein_coding",43.605558205178,2.51693023168304
"ENSMUSG00000042784","Muc1",5.25904256845251,1.45324589398031,2.3284938791539e-14,4.75766087602416e-12,1,"3",89136364,89140688,"+",4325,2338,0.535846,0.540633,0.530211,"protein_coding",38.2938967141973,2.73823429303519
"ENSMUSG00000022385","Gtse1",1.57888406779792,1.82873422221742,2.39232565615989e-14,4.81724241546166e-12,1,"15",85743946,85760774,"+",16829,2730,0.511647,0.544322,0.50532,"protein_coding",2.98738684391099,3.55225271600678
"ENSMUSG00000006216","Clcnkb",7.55625955913425,-0.963528461387723,2.43886805573152e-14,4.84080468090481e-12,-1,"4",141131664,141143325,"-",11662,2620,0.535975,0.566794,0.527043,"protein_coding",188.217838788003,0.512801198402444
"ENSMUSG00000028222","Calb1",7.22164186512282,-1.56390995872775,2.49408506520488e-14,4.8806785768953e-12,-1,"4",15881264,15908064,"+",26801,4836,0.367761,0.364351,0.368512,"protein_coding",149.255663480914,0.338233166862859
"ENSMUSG00000038670","Mybpc2",1.61499472743326,4.24510685493351,2.66640424717842e-14,5.14541952920791e-12,1,"7",44151123,44174080,"-",22958,3583,0.519101,0.545632,0.514194,"protein_coding",3.06310479954711,18.9628887920892
"ENSMUSG00000028392","Bspry",6.02833744572493,1.01542782188741,2.78182348063516e-14,5.29461033423904e-12,1,"4",62398290,62415535,"+",17246,2345,0.475964,0.565458,0.461879,"protein_coding",65.2695164373163,2.02150226752731
"ENSMUSG00000078486","Perm1",2.08485191009872,-1.8227363792388,3.12577406957355e-14,5.86885201657498e-12,-1,"4",156300325,156305764,"+",5440,3897,0.519397,0.531691,0.488327,"protein_coding",4.24231547750931,0.282684291393715
"ENSMUSG00000018865","Sult4a1",0.695426187143663,4.07965824128635,3.5109345693852e-14,6.33518505286207e-12,1,"15",83960298,83989955,"-",29658,2504,0.523721,0.567891,0.519648,"protein_coding",1.61936273906511,16.9082827868258
"ENSMUSG00000040204","Pclaf",1.8393676560808,2.72763917187626,3.46630711016199e-14,6.33518505286207e-12,1,"9",65797519,65810548,"+",13030,4809,0.410315,0.409441,0.410827,"protein_coding",3.57853144309018,6.62370844766454
"ENSMUSG00000079553","Kifc1",2.32088075681296,1.81584109639704,3.46704127469415e-14,6.33518505286207e-12,1,"17",34094633,34109635,"-",15003,3404,0.494001,0.560811,0.474392,"protein_coding",4.99637152005715,3.52064825607802
"ENSMUSG00000029304","Spp1",10.4229853276348,2.49711987136399,3.6509401903855e-14,6.50335423143796e-12,1,"5",104582984,104588916,"+",5933,1640,0.378793,0.442073,0.354613,"protein_coding",1372.87573141202,5.64557243628161
"ENSMUSG00000031146","Plp2",4.7745655331673,1.41856318963884,3.74400702762482e-14,6.58471311921763e-12,1,"X",7534180,7537629,"-",3450,1330,0.514642,0.521805,0.510146,"protein_coding",27.3707968798725,2.67319149573432
"ENSMUSG00000041189","Chrnb1",4.09043997731028,1.5246752050428,3.84387845239324e-14,6.5934379280928e-12,1,"11",69674862,69686769,"-",11908,2521,0.463761,0.512098,0.450778,"protein_coding",17.0351173103877,2.87721933667315
"ENSMUSG00000090634","Gm8126",3.19946879479315,2.53597586262111,3.81810676531537e-14,6.5934379280928e-12,1,"14",43116106,43124256,"+",8151,1759,0.399141,0.374076,0.40604,"protein_coding",9.18620382579286,5.79969029749972
"ENSMUSG00000020905","Usp43",3.69663886328999,1.14284514546548,3.99228542311721e-14,6.65824915719546e-12,1,"11",67745349,67812979,"-",67631,4728,0.455966,0.55203,0.448746,"protein_coding",12.9657959023089,2.20816066429948
"ENSMUSG00000028873","Cdca8",2.24268922590542,1.51170384444268,4.02542773286612e-14,6.65824915719546e-12,1,"4",124812258,124833104,"-",20847,5164,0.471074,0.490899,0.464545,"protein_coding",4.73278447773902,2.85146602743884
"ENSMUSG00000035783","Acta2",6.30532732855429,1.36196086099989,3.93469603285218e-14,6.65824915719546e-12,1,"19",34218490,34232990,"-",14501,2186,0.445931,0.483989,0.439175,"protein_coding",79.0847340280645,2.57034294293407
"ENSMUSG00000040957","Cables1",3.67475717181052,-0.872770439959388,4.37843900487645e-14,7.15694488632394e-12,-1,"18",11972277,12078687,"+",106411,3828,0.484015,0.592215,0.479977,"protein_coding",12.7706245045169,0.546097160336595
"ENSMUSG00000023015","Racgap1",2.73713444979309,1.56704339353279,4.45717996702739e-14,7.16122767280911e-12,1,"15",99518377,99549537,"-",31161,7064,0.452503,0.468998,0.447668,"protein_coding",6.66744699100903,2.96296871518422
"ENSMUSG00000048612","Myof",5.60274590784419,1.40455172569799,4.4902391721242e-14,7.16122767280911e-12,1,"19",37887484,38032025,"-",144542,12549,0.446296,0.473902,0.443671,"protein_coding",48.5953345515114,2.64735510662029
"ENSMUSG00000053113","Socs3",4.0464989436697,2.41598602525959,4.53568472151434e-14,7.16122767280911e-12,1,"11",117856905,117860873,"-",3969,2887,0.610383,0.590578,0.663275,"protein_coding",16.5240902941399,5.33684098287346
"ENSMUSG00000042029","Ncapg2",2.59115730256088,1.58144934743812,5.39959085086834e-14,8.42942868336683e-12,1,"12",116369022,116427351,"+",58330,9910,0.402681,0.41665,0.399822,"protein_coding",6.02581884880525,2.99270349070928
"ENSMUSG00000022034","Esco2",0.903914829103639,2.98434390684461,5.76060632651699e-14,8.89309603340301e-12,1,"14",66056487,66071443,"-",14957,6639,0.389008,0.375659,0.399663,"protein_coding",1.87113652804833,7.91365354760015
"ENSMUSG00000020897","Aurkb",1.68037841086025,2.47160114899742,6.37734743120114e-14,9.7370181548471e-12,1,"11",68936473,68942490,"+",6018,2941,0.490776,0.518191,0.464564,"protein_coding",3.20512008523121,5.54659024062351
"ENSMUSG00000020303","Stc2",3.34338011600814,2.06752334431988,6.9020608067819e-14,1.04236122662421e-11,1,"11",31307307,31320074,"-",12768,5171,0.499491,0.507639,0.493944,"protein_coding",10.1498050758255,4.19166477848683
"ENSMUSG00000041064","Pif1",0.683909444708293,2.89819390212922,8.07737717360001e-14,1.20674277903224e-11,1,"9",65494442,65503249,"+",8808,4378,0.510957,0.538602,0.483631,"protein_coding",1.60648715413051,7.4549253293062
"ENSMUSG00000002020","Ltbp2",3.46770471701559,3.32914902811853,8.67316337889857e-14,1.28196736155762e-11,1,"12",84829986,84923306,"-",93321,8149,0.499186,0.573935,0.492034,"protein_coding",11.0632604322918,10.050177162953
"ENSMUSG00000056394","Lig1",4.00518831888233,1.15666785680762,9.62086032672461e-14,1.40707614083697e-11,1,"7",13011239,13045350,"+",34112,4197,0.465949,0.527996,0.457244,"protein_coding",16.0576438870063,2.22941911232043
"ENSMUSG00000003469","Phyhip",2.03918592853261,-1.28937138469967,1.05497826046368e-13,1.52686124488357e-11,-1,"14",70694916,70706272,"+",11357,2904,0.530204,0.578512,0.513606,"protein_coding",4.11013542053203,0.409129257442993
"ENSMUSG00000023067","Cdkn1a",4.36373651223805,1.83670700596917,1.12485945358776e-13,1.61121621114932e-11,1,"17",29309950,29319701,"+",9752,3549,0.538611,0.524373,0.546759,"protein_coding",20.5880674952701,3.57193791806495
"ENSMUSG00000061048","Cdh3",3.55373829644182,1.92555069391756,1.22114913354383e-13,1.73129041443449e-11,1,"8",107237523,107283929,"+",46407,4368,0.475736,0.520604,0.471074,"protein_coding",11.7430747120643,3.79881826136
"ENSMUSG00000024349","Sting1",3.29195412072383,1.57992427744293,1.23499240091286e-13,1.73323074932154e-11,1,"18",35866732,35873607,"-",6876,2734,0.500218,0.512802,0.49191,"protein_coding",9.79437966229083,2.98954158145082
"ENSMUSG00000022462","Slc38a2",6.75035874908105,0.768107964955554,1.34508228864149e-13,1.86885733183849e-11,1,"15",96585273,96597611,"-",12339,8827,0.458421,0.438088,0.509541,"protein_coding",107.661509571827,1.70303485837238
"ENSMUSG00000030677","Kif22",2.29150300676778,1.8165565078909,1.51196614625504e-13,2.07992649862055e-11,1,"7",126626901,126641643,"-",14743,4894,0.468525,0.498161,0.453798,"protein_coding",4.89565877623947,3.52239452729713
"ENSMUSG00000024529","Lox",3.90319089452664,2.53909669635776,1.62926170196931e-13,2.21931000854525e-11,1,"18",52649139,52662939,"-",13801,4770,0.415652,0.438784,0.403433,"protein_coding",14.961582719801,5.81224975015262
"ENSMUSG00000014599","Csf1",4.82245841225404,1.11986918442641,1.71952655774252e-13,2.31952446536647e-11,1,"3",107648364,107667785,"-",19422,5269,0.512229,0.526665,0.506854,"protein_coding",28.2946701169407,2.17327265582359
"ENSMUSG00000018920","Cxcl16",6.61556670602042,0.900698352357211,1.79635059481775e-13,2.39985530426902e-11,1,"11",70344809,70350810,"-",6002,3015,0.474254,0.496186,0.45211,"protein_coding",98.0582225669395,1.86696949143761
"ENSMUSG00000026683","Nuf2",1.32962853153924,2.47512115273308,2.04164317547369e-13,2.70158002666966e-11,1,"1",169325503,169359033,"-",33531,6327,0.424664,0.420578,0.425615,"protein_coding",2.51337951494246,5.56013978181798
"ENSMUSG00000018593","Sparc",9.0511620376292,1.30866500838145,2.19343953670134e-13,2.87506121914419e-11,1,"11",55285326,55314009,"-",28684,3776,0.494509,0.509004,0.492311,"protein_coding",530.482753258437,2.47712214474802
"ENSMUSG00000026070","Il18r1",2.13874323014112,2.36822655329108,2.31835605294311e-13,2.98775919047453e-11,1,"1",40504712,40540014,"+",35303,4805,0.419296,0.44974,0.4145,"protein_coding",4.40378254048886,5.16306067822182
"ENSMUSG00000030616","Sytl2",5.27073693081794,1.03796058862228,2.32242689341622e-13,2.98775919047453e-11,1,"7",89951460,90059927,"+",108468,13927,0.421796,0.442163,0.418796,"protein_coding",38.6055652318662,2.05332299823158
"ENSMUSG00000007080","Pole",2.54575989411538,1.44389733621392,2.44044114643919e-13,3.1107788338189e-11,1,"5",110434172,110485340,"+",51169,11113,0.444575,0.482318,0.434103,"protein_coding",5.83915615847803,2.72054810069028
"ENSMUSG00000041351","Rap1gap",7.00818266035626,-0.970000271687571,2.62826681305026e-13,3.29426662217667e-11,-1,"4",137392037,137457172,"+",65136,6401,0.542919,0.605374,0.536112,"protein_coding",128.728051583661,0.510505966715373
"ENSMUSG00000079547","H2-DMb1",4.8974963756174,1.04831808574684,2.63180937859227e-13,3.29426662217667e-11,1,"17",34372046,34379204,"+",7159,1674,0.488265,0.528674,0.47593,"protein_coding",29.8052873183022,2.06811740125052
"ENSMUSG00000058952","Cfi",3.96229857585769,2.77829007736026,2.72886167480617e-13,3.38525036694259e-11,1,"3",129629533,129668981,"+",39449,2205,0.433178,0.468934,0.431061,"protein_coding",15.5872938626968,6.86038754717889
"ENSMUSG00000021754","Map3k1",5.82004338373454,1.17501059159901,2.89563439635633e-13,3.56034905336061e-11,1,"13",111882962,111945527,"-",62566,7425,0.46558,0.491852,0.462042,"protein_coding",56.4946906065984,2.25794538634099
"ENSMUSG00000020649","Rrm2",3.36168300668245,1.97336298434458,2.97166839960944e-13,3.60547107379271e-11,1,"12",24758240,24764145,"+",5906,2762,0.469771,0.464881,0.474069,"protein_coding",10.2793918325399,3.92682412626882
"ENSMUSG00000022500","Litaf",5.98067251953047,0.918284399461262,3.01018169396829e-13,3.60547107379271e-11,1,"16",10777139,10884021,"-",106883,5149,0.483926,0.488056,0.483717,"protein_coding",63.1483231351677,1.88986659597234
"ENSMUSG00000035914","Cd276",1.88064356857482,2.34197338596054,3.00327115498665e-13,3.60547107379271e-11,1,"9",58431581,58462720,"-",31140,3649,0.505636,0.561798,0.498181,"protein_coding",3.68239290650742,5.06995655952306
"ENSMUSG00000039396","Neil3",1.22586387314221,2.31764925347727,3.46858390091807e-13,4.11901749738082e-11,1,"8",54039902,54092100,"-",52199,5541,0.397122,0.42736,0.393532,"protein_coding",2.3389546234116,4.98519263489363
