?disease	?disease_label	?superclass	?superclass_label	?subclass_disease	?subclass_label
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001068>	"Orthorexia Nervosa"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D018910>	"Exergaming"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015444>	"Exergaming"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D009272>	"Health Disparate Minority and Vulnerable Populations"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015431>	"Weight Cycling"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015430>	"Weight Cycling"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001690>	"Translational Science, Biomedical"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D011287>	"Bias, Implicit"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D012649>	"Self-Compassion"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D064866>	"Self-Compassion"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D019958>	"Sluggish Cognitive Tempo"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D003674>	"Information Avoidance"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D013177>	"Rugby"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D004546>	"Three Finger Toxins"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D030162>	"Three Finger Toxins"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D006806>	"Citizenship"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000087504>	"mRNA Vaccines"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D022282>	"mRNA Vaccines"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D014614>	"Nucleic Acid-Based Vaccines"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001927>	"Diaschisis"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000087506>	"Vaccine Efficacy"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D008017>	"Healthy Life Expectancy"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D008017>	"Disability-Adjusted Life Years"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D056224>	"Artificial Virus-Like Particles"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D007108>	"Endotoxin Tolerance"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Radiation Fibrosis Syndrome"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D011832>	"Radiation Fibrosis Syndrome"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D036861>	"Umbilical Cord Clamping"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D014118>	"Uremic Toxins"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D055669>	"Anthropogenic Effects"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D018929>	"Cell Culture Techniques, Three Dimensional"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D002540>	"Insular Cortex"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D014793>	"Primary Visual Cortex"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D017397>	"Dorsolateral Prefrontal Cortex"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000369>	"Centenarians"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000369>	"Octogenarians"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D008192>	"Disinformation"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D011406>	"Disinformation"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D008919>	"Video-Assisted Techniques and Procedures"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001296>	"Sound Recordings"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D003308>	"Sound Recordings"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D002175>	"Candida auris"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D017741>	"Elite Controllers"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D002585>	"Ex utero Intrapartum Treatment Procedures"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D046128>	"Ex utero Intrapartum Treatment Procedures"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D003594>	"Cytoplasmic Ribonucleoprotein Granules"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000088123>	"Processing Bodies"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000088123>	"Stress Granules"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000088202>	"Promyelocytic Leukemia Nuclear Bodies"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D042581>	"Nuclear Bodies"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000088202>	"Nuclear Speckles"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000088202>	"Paraspeckles"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000088123>	"Germ Cell Ribonucleoprotein Granules"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D008334>	"Mandibular Canal"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D024801>	"Corticobasal Degeneration"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000088064>	"HIV Non-Progressors"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D020276>	"HIV Non-Progressors"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D002561>	"Vascular Depression"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D003866>	"Vascular Depression"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D045424>	"Aerosolized Particles and Droplets"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D012634>	"Respiratory Aerosols and Droplets"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001826>	"Respiratory Aerosols and Droplets"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000920>	"Opsonization"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D010587>	"Opsonization"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D055633>	"Trogocytosis"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D002468>	"Trogocytosis"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D009203>	"MINOCA"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D022142>	"Microneme"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D022142>	"Dense Core Vesicles"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D022142>	"Lamellar Bodies"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D003594>	"Lamellar Bodies"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D006489>	"Anticoagulation Reversal"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D006875>	"Aquatic Therapy"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000940>	"Antigenic Drift and Shift"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D040961>	"Antigenic Drift and Shift"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000369>	"Nonagenarians"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D009035>	"Adolescent Mothers"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D018986>	"Autonomous Vehicles"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015928>	"Cognitive Restructuring"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000401>	"Unmanned Aerial Devices"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D013812>	"Genomic Medicine"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015510>	"Genomic Medicine"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D003266>	"Hospital to Home Transition"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001307>	"Listening Effort"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D026741>	"Mirror Movement Therapy"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D004637>	"Psychological First Aid"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D016138>	"Nordic Walking"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000084762>	"HCV NS3-4A Protease Inhibitors"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015981>	"Serial Infection Interval"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000072758>	"Vaccination Hesitancy"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D007166>	"Interleukin Inhibitors"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000069342>	"Overtreatment"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D016739>	"Technology Addiction"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000893>	"Antifibrotic Agents"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D055669>	"Coral Bleaching"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D012637>	"Biosecurity"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D012816>	"Body Odor"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D033181>	"Infodemic"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D005220>	"Adolescent Fathers"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D045506>	"Genitourinary Agents"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000089183>	"Non-Radiographic Axial Spondyloarthritis"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D016922>	"Senescence-Associated Secretory Phenotype"@en
