umls	mondo	parent
UMLS:C0949658	MONDO:0024573	hypertrophic cardiomyopathy,intrinsic cardiomyopathy,cardiomyopathy,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C4225195	MONDO:0014785	microcephaly, short stature, and impaired glucose metabolism,hereditary disease,human disease,disease
UMLS:C0038273	MONDO:0002265	specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0019151	MONDO:0001711	brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0393814	MONDO:0008087	hereditary peripheral neuropathy,peripheral neuropathy,peripheral nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4551774	MONDO:0008115, MONDO:0015267	Feingold syndrome,autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0032460	MONDO:0008487	syndromic disease,human disease,disease
UMLS:C0027080	MONDO:0000866	disease
UMLS:C1850830		disease
UMLS:C0010403	MONDO:0005576	type IV hypersensitivity disease,hypersensitivity reaction disease,immune system disorder,human disease,disease
UMLS:C0206726	MONDO:0016681	brain glioblastoma,brain glioma,brain cancer,central nervous system cancer,nervous system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0151905		disease
UMLS:C0020635	MONDO:0009876, MONDO:0007794, MONDO:0007844, MONDO:0012528, MONDO:0014461, MONDO:0015127, MONDO:0009482, MONDO:0005152, MONDO:0018555, MONDO:0013910, MONDO:0013911, MONDO:0013912, MONDO:0013913, MONDO:0013914, MONDO:0013915, MONDO:0013926, MONDO:0013946, MONDO:0013961, MONDO:0014102, MONDO:0014103, MONDO:0014105, MONDO:0014106, MONDO:0014107, MONDO:0012880, MONDO:0012988, MONDO:0013006, MONDO:0010615, MONDO:0010635	isolated congenital growth hormone deficiency,combined pituitary hormone deficiencies, genetic form,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0398794	MONDO:0018306	syndromic oculocutaneous albinism,syndromic disease,human disease,disease
UMLS:C0003126	MONDO:0010528	nasal disorder,otorhinolaryngologic disease,human disease,disease
UMLS:C4048270		disease
UMLS:C1843884	MONDO:0011834	autosomal dominant cerebellar ataxia type I,autosomal dominant cerebellar ataxia,autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C5680191	MONDO:0019591	combined pituitary hormone deficiencies, genetic form,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0409495	MONDO:0008320	hereditary disease,human disease,disease
UMLS:C2315100		disease
UMLS:C0878683	MONDO:0009878	panhypopituitarism,combined pituitary hormone deficiencies, genetic form,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C3899764	MONDO:0956989	EWSR1-negative small round cell tumor,small cell sarcoma,sarcoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C2677637	MONDO:0010817	autosomal dominant nonsyndromic hearing loss,autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C4539919	MONDO:0033282	fatal multiple mitochondrial dysfunctions syndrome,inherited lipoic acid biosynthesis defect,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0004903	MONDO:0007534, MONDO:0013038	hereditary neoplastic syndrome,hereditary disease,human disease,disease
UMLS:C1853444	MONDO:0011659, MONDO:0018677	visceral heterotaxy,syndromic disease,human disease,disease
UMLS:C0020179	MONDO:0011299, MONDO:0007739, MONDO:0011671	prion disease,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0026838		disease
UMLS:C0426870		disease
UMLS:C4552100	MONDO:0005835	autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0004153	MONDO:0005311, MONDO:0002277	arteriosclerosis disorder,arterial disorder,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C5680502	MONDO:0015802	non-syndromic intellectual disability,intellectual disability,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0239234		disease
UMLS:C0342276	MONDO:0018911	monogenic diabetes,diabetes mellitus,endocrine pancreas disorder,pancreas disorder,digestive system disorder,human disease,disease
UMLS:C5436867	MONDO:0030880	hereditary disease,human disease,disease
UMLS:C1846647	MONDO:0019588	autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C5393309	MONDO:0017219	holoprosencephaly,syndromic disease,human disease,disease
UMLS:C3810363	MONDO:0014320	syndromic intellectual disability,intellectual disability,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0003578		disease
UMLS:C3808920	MONDO:0000387, MONDO:0014094	microcytic anemia,anemia,hematologic disorder,human disease,disease
UMLS:C0587246		disease
UMLS:C0021368		disease
UMLS:C0023267	MONDO:0001572	benign smooth muscle neoplasm,benign muscle neoplasm,musculoskeletal system benign neoplasm,musculoskeletal system disorder,human disease,disease
UMLS:C0155015	MONDO:0010565	color vision disorder,blindness (disorder),vision disorder,perceptual disorders,psychiatric disorder,human disease,disease
UMLS:C0157916	MONDO:0011429	rheumatic disorder,connective tissue disorder,human disease,disease
UMLS:C0270685		disease
UMLS:C0001430	MONDO:0004972	epithelial neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C4693784	MONDO:0054731	spermatogenic failure,hereditary disease,human disease,disease
UMLS:C5679613	MONDO:0016281	disorder of sexual differentiation,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C1836727	MONDO:0012198	autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0236038		disease
UMLS:C0345967	MONDO:0006292	cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0751422	MONDO:0017953	periodic fever syndrome,autoinflammatory syndrome,syndromic disease,human disease,disease
UMLS:C2063866		disease
UMLS:C0264886	MONDO:0019490, MONDO:0100042	heart conduction disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C4747984	MONDO:0020840	hereditary disease,human disease,disease
UMLS:C0152427	MONDO:0011348, MONDO:0021003	polydactyly,hereditary disease,human disease,disease
UMLS:C1704380	MONDO:0001909, MONDO:0008368, MONDO:0015827	acidosis disorder,disorder of acid-base balance,metabolic disease,human disease,disease
UMLS:C4273660	MONDO:0013546	mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0749424	MONDO:0006465, MONDO:0011836	adenocarcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0745103	MONDO:0005439, MONDO:0007750	familial hyperlipidemia,inherited lipid metabolism disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0008479	MONDO:0008977	sarcoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0206368	MONDO:0008327, MONDO:0100046	phacogenic glaucoma,glaucoma,eye disorder,disorder of orbital region,human disease,disease
UMLS:C1843156		disease
UMLS:C0334287	MONDO:0006210	hepatocellular carcinoma,adenocarcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0152101	MONDO:0004933	syndromic disease,human disease,disease
UMLS:C1861537	MONDO:0007335, MONDO:0000358	orofacial cleft,hereditary disease,human disease,disease
UMLS:C0221074	MONDO:0005929	depressive disorder,mood disorder,mental disorder,psychiatric disorder,human disease,disease
UMLS:C2673186	MONDO:0012730	familial thoracic aortic aneurysm and aortic dissection,hereditary disease,human disease,disease
UMLS:C0598798	MONDO:0005062, MONDO:0005157	lymphoid neoplasm,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0555198	MONDO:0021042, MONDO:0100342	neuroepithelial neoplasm,nervous system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0006287	MONDO:0019091	respiratory system disorder,human disease,disease
UMLS:C4273988	MONDO:0000160, MONDO:0019448	early myoclonic encephalopathy,neonatal period electroclinical syndrome,electroclinical syndrome,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C2675719		disease
UMLS:C2237142		disease
UMLS:C4225493		disease
UMLS:C0019050	MONDO:0100244	hemoglobinuria,proteinuria,kidney disorder,urinary system disorder,human disease,disease
UMLS:C1563709	MONDO:0018756	autoimmune disease,immune system disorder,human disease,disease
UMLS:C0010964	MONDO:0009072	cerebellar disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4025019		disease
UMLS:C1832841	MONDO:0010985, MONDO:0000160	epilepsy, familial adult myoclonic,early myoclonic encephalopathy,neonatal period electroclinical syndrome,electroclinical syndrome,epilepsy,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4760583	MONDO:0032791	Coffin-Siris syndrome,syndromic disease,human disease,disease
UMLS:C0280788	MONDO:0016698, MONDO:0016700	ependymal tumor,glioma,neuroepithelial neoplasm,nervous system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0019189	MONDO:0002251	liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C1864851	MONDO:0012505	primary pigmented nodular adrenocortical disease,hereditary disease,human disease,disease
UMLS:C0034065	MONDO:0005279	arterial disorder,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C5562039	MONDO:0030498	immunodeficiency disease,hereditary disease,human disease,disease
UMLS:C1368683	MONDO:0005626, MONDO:0004993	neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C3266898	MONDO:0018094	autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C5679970	MONDO:0017685	vitamin B12-responsive methylmalonic acidemia,methylmalonic acidemia,inborn organic aciduria,inborn disorder of amino acid metabolism,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C5231424	MONDO:0032830	hereditary disease,human disease,disease
UMLS:C0020192	MONDO:0700081	primary interstitial lung disease specific to childhood,interstitial lung disease specific to childhood,interstitial lung disease,lung disorder,lower respiratory tract disorder,respiratory system disorder,human disease,disease
UMLS:C0002895	MONDO:0011382	autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C1857775	MONDO:0012436	neonatal diabetes mellitus,monogenic diabetes,diabetes mellitus,endocrine pancreas disorder,pancreas disorder,digestive system disorder,human disease,disease
UMLS:C5190608	MONDO:0013223	spondylometaphyseal dysplasia,skeletal dysplasia,hereditary disease,human disease,disease
UMLS:C0019034	MONDO:0011382, MONDO:0016669	autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0206682	MONDO:0005034	differentiated thyroid carcinoma,thyroid gland carcinoma,thyroid cancer,thyroid tumor,endocrine gland neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C3463824	MONDO:0018881	myeloid hemopathy,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0019322		disease
UMLS:C0264885		disease
UMLS:C1263846	MONDO:0005302, MONDO:0007743, MONDO:0100518	attention deficit-hyperactivity disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0013080	MONDO:0008608	chromosome 21 disorder,autosomal anomaly,chromosomal disorder,human disease,disease
UMLS:C0022578	MONDO:0015486	corneal disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0751748	MONDO:0011612, MONDO:0958179	brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4749272	MONDO:0009624	microcephaly and chorioretinopathy,microcephaly,disorder of development or morphogenesis,human disease,disease
UMLS:C0746102		disease
UMLS:C4551474	MONDO:0008869, MONDO:0019342	Seckel syndrome,syndromic disease,human disease,disease
UMLS:C0024790	MONDO:0100244	hemoglobinuria,proteinuria,kidney disorder,urinary system disorder,human disease,disease
UMLS:C2750246	MONDO:0012400	syndromic disease,human disease,disease
UMLS:C4329780	MONDO:0100291	T-cell acute lymphoblastic leukemia,acute lymphoblastic leukemia,precursor lymphoblastic lymphoma/leukemia,lymphoid neoplasm,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0345904	MONDO:0002691	digestive system cancer,digestive system disorder,human disease,disease
UMLS:C2750481	MONDO:0013190	congenital factor XIII deficiency,factor XIII deficiency,coagulation protein disease,blood coagulation disease,hematologic disorder,human disease,disease
UMLS:C3554355	MONDO:0014011	congenital non-bullous ichthyosiform erythroderma,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0234533	MONDO:0001386	visual cortex disorder,visual pathway disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0041948	MONDO:0007008	kidney failure,kidney disorder,urinary system disorder,human disease,disease
UMLS:C0020550	MONDO:0004425	thyroid gland disorder,endocrine system disorder,human disease,disease
UMLS:C1858386	MONDO:0011458	cone-rod dystrophy,inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C0024115	MONDO:0005275	lower respiratory tract disorder,respiratory system disorder,human disease,disease
UMLS:C4310638	MONDO:0014999	tooth agenesis,hereditary disease,human disease,disease
UMLS:C1134719	MONDO:0005590, MONDO:0004953	breast adenocarcinoma,integumentary system cancer,integumentary system disorder,human disease,disease
UMLS:C0521573	MONDO:0020357	coloboma,eye disorder,disorder of orbital region,human disease,disease
UMLS:C0260662	MONDO:0021945	auditory system disorder,human disease,disease
UMLS:C5191640	MONDO:0013992	congenital hypogonadotropic hypogonadism,hypogonadotropic hypogonadism,hypogonadism,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C1849699	MONDO:0009909	hereditary disease,human disease,disease
UMLS:C0020295	MONDO:0005510	urinary tract obstruction,urinary system disorder,human disease,disease
UMLS:C4021133	MONDO:0018901	intrinsic cardiomyopathy,cardiomyopathy,muscle tissue disorder,musculoskeletal system disorder,human disease,disease
UMLS:C1847614	MONDO:0000724, MONDO:0011710	language disorder,communication disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0023903	MONDO:0002691	digestive system cancer,digestive system disorder,human disease,disease
UMLS:C1852372	MONDO:0015448, MONDO:0007415	mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C2981150	MONDO:0007336, MONDO:0016064	cleft palate,orofacial cleft,hereditary disease,human disease,disease
UMLS:C1332219	MONDO:0019004, MONDO:0024675	kidney cancer,malignant urinary system neoplasm,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0265202	MONDO:0019342	syndromic disease,human disease,disease
UMLS:C3489789	MONDO:0011156, MONDO:0011559	benign recurrent intrahepatic cholestasis type 2,benign recurrent intrahepatic cholestasis,familial intrahepatic cholestasis,liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
UMLS:C0432198	MONDO:0010024	Jeune syndrome,ciliopathy,hereditary disease,human disease,disease
UMLS:C3887506		disease
UMLS:C0266551	MONDO:0020356	coloboma, ocular, autosomal dominant,coloboma,eye disorder,disorder of orbital region,human disease,disease
UMLS:C1837404		disease
UMLS:C0010308	MONDO:0012360, MONDO:0013757, MONDO:0009154, MONDO:0010139, MONDO:0010142, MONDO:0018612, MONDO:0024264, MONDO:0010475	hypothyroidism, congenital, nongoitrous,hereditary disease,human disease,disease
UMLS:C0027404	MONDO:0019371, MONDO:0021107	brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0042138	MONDO:0002715, MONDO:0021353	female reproductive organ cancer,reproductive system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0001621	MONDO:0005495	endocrine system disorder,human disease,disease
UMLS:C0751529	MONDO:0000723	speech disorder,communication disorder,specific developmental disorder,developmental disorder of mental health,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0265004		disease
UMLS:C0265914	MONDO:0020295	congenital heart disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0006261	MONDO:0001358	lower respiratory tract disorder,respiratory system disorder,human disease,disease
UMLS:C1335167	MONDO:0005601	ovarian adenocarcinoma,adenocarcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1836447	MONDO:0012240	typical nemaline myopathy,congenital nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0749420	MONDO:0012360, MONDO:0013757, MONDO:0009154, MONDO:0010139, MONDO:0010142, MONDO:0024264, MONDO:0019855, MONDO:0010475	hypothyroidism, congenital, nongoitrous,hereditary disease,human disease,disease
UMLS:C0079772	MONDO:0015760	non-Hodgkin lymphoma,lymphoma,lymphoid neoplasm,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1843244		disease
UMLS:C2752015	MONDO:0013968	congenital disorder of glycosylation type I,congenital disorder of glycosylation,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0020505		disease
UMLS:C0344432	MONDO:0020575	ventricular tachycardia,cardiac rhythm disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0008519		disease
UMLS:C0151744	MONDO:0005010, MONDO:0024644	arterial disorder,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0242422	MONDO:0021095	basal ganglia disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0243026	MONDO:0005229	bacterial infectious disease,infectious disease,human disease,disease
UMLS:C0334401	MONDO:0006036, MONDO:0020541	endocrine gland neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0009952		disease
UMLS:C0027697	MONDO:0001166	kidney disorder,urinary system disorder,human disease,disease
UMLS:C1868120	MONDO:0019674	postaxial polydactyly,non-syndromic polydactyly,polydactyly,hereditary disease,human disease,disease
UMLS:C2931218	MONDO:0010110	hereditary disease,human disease,disease
